outer_weight,aggregate_log2,peak_first_r,peak_remaining_ones,peak_gap_min,peak_gap_max,peak_inner_mode,peak_outer_log2_bound,peak_placement_log2,peak_inner_log2,peak_best_lambda,peak_best_alpha,peak_best_rho,peak_term_log2
501,-184.35624892645725,1,500,1,4000,cap,677.3932024505685,-861.7853757248122,0.0,nan,nan,nan,-184.39217327424365
502,-184.7404944172792,1,501,1,4000,cap,678.7294120535776,-863.5059028573723,0.0,nan,nan,nan,-184.7764908037948
503,-185.12474148801965,1,502,1,4000,cap,680.0656216565866,-865.2264315711791,0.0,nan,nan,nan,-185.1608099145925
504,-185.50899013439857,1,503,1,4000,cap,681.4018312595956,-866.9469618619778,0.0,nan,nan,nan,-185.5451306023822
505,-185.89324036718523,1,504,1,4000,cap,682.7380408626046,-868.6674937404823,0.0,nan,nan,nan,-185.92945287787768
506,-186.27749217220511,1,505,1,4000,cap,684.0742504656137,-870.3880271925427,0.0,nan,nan,nan,-186.31377672692906
507,-186.66174556005834,1,506,1,4000,cap,685.4104600686227,-872.108562228821,0.0,nan,nan,nan,-186.69810216019835
508,-187.04600052597002,1,507,1,4000,cap,686.7466696716318,-873.829098844406,0.0,nan,nan,nan,-187.08242917277414
509,-187.4302570716732,1,508,1,4000,cap,688.0828792746408,-875.5496370411829,0.0,nan,nan,nan,-187.46675776654206
510,-187.8145151965057,1,509,1,4000,cap,689.4190888776499,-877.2701768184161,0.0,nan,nan,nan,-187.8510879407662
511,-188.19877490358502,1,510,1,4000,cap,690.7552984806589,-878.9907181791741,0.0,nan,nan,nan,-188.23541969851522
512,-188.58303618351664,1,511,1,4000,cap,692.0915080836679,-880.7112611141511,0.0,nan,nan,nan,-188.61975303048314
513,-188.96729905102237,1,512,1,4000,cap,693.4277176866769,-882.4318056379952,0.0,nan,nan,nan,-189.0040879513183
514,-189.35156349273208,1,513,1,4000,cap,694.763927289686,-884.1523517374462,0.0,nan,nan,nan,-189.38842444776026
515,-189.73582951535602,1,514,1,4000,cap,696.100136892695,-885.8728994190424,0.0,nan,nan,nan,-189.77276252634738
516,-190.12009712226953,1,515,1,4000,cap,697.436346495704,-887.5934486863607,0.0,nan,nan,nan,-190.1571021906567
517,-190.50436629828266,1,516,1,4000,cap,698.7725560987132,-889.3139995240181,0.0,nan,nan,nan,-190.54144342530492
518,-190.88863706077623,1,517,1,4000,cap,700.1087657017222,-891.0345519495595,0.0,nan,nan,nan,-190.92578624783732
519,-191.27290940468114,1,518,1,4000,cap,701.4449753047312,-892.7551059577672,0.0,nan,nan,nan,-191.31013065303603
520,-191.65718332935128,1,519,1,4000,cap,702.7811849077402,-894.4756615481328,0.0,nan,nan,nan,-191.69447664039262
521,-192.0414588295267,1,520,1,4000,cap,704.1173945107493,-896.1962187152985,0.0,nan,nan,nan,-192.07882420454928
522,-192.42573590716202,1,521,1,4000,cap,705.4536041137583,-897.9167774612952,0.0,nan,nan,nan,-192.4631733475369
523,-192.81001456384277,1,522,1,4000,cap,706.7898137167673,-899.6373377875871,0.0,nan,nan,nan,-192.84752407081976
524,-193.1942948007684,1,523,1,4000,cap,708.1260233197763,-901.3578996955393,0.0,nan,nan,nan,-193.23187637576302
525,-193.578576617813,1,524,1,4000,cap,709.4622329227853,-903.0784631848846,0.0,nan,nan,nan,-193.6162302620993
526,-193.96286002197093,1,525,1,4000,cap,710.7984425257944,-904.7990282627043,0.0,nan,nan,nan,-194.0005857369099
527,-194.3471449953305,1,526,1,4000,cap,712.1346521288035,-906.5195949110384,0.0,nan,nan,nan,-194.38494278223493
528,-194.7314315505114,1,527,1,4000,cap,713.4708617318125,-908.2401631425073,0.0,nan,nan,nan,-194.76930141069477
529,-195.11571969027122,1,528,1,4000,cap,714.8070713348216,-909.9607329599412,0.0,nan,nan,nan,-195.15366162511964
530,-195.50000940588654,1,529,1,4000,cap,716.1432809378306,-911.6813043545053,0.0,nan,nan,nan,-195.53802341667472
531,-195.88430070032666,1,530,1,4000,cap,717.4794905408396,-913.40187732925,0.0,nan,nan,nan,-195.92238678841045
532,-196.2685935785505,1,531,1,4000,cap,718.8157001438486,-915.1224518891013,0.0,nan,nan,nan,-196.30675174525265
533,-196.6528880270463,1,532,1,4000,cap,720.1519097468577,-916.8430280205457,0.0,nan,nan,nan,-196.69111827368806
534,-197.03718406291142,1,533,1,4000,cap,721.4881193498667,-918.563605740701,0.0,nan,nan,nan,-197.07548639083427
535,-197.42148167760573,1,534,1,4000,cap,722.8243289528757,-920.2841850409823,0.0,nan,nan,nan,-197.45985608810656
536,-197.8057808687295,1,535,1,4000,cap,724.1605385558848,-922.0047659190814,0.0,nan,nan,nan,-197.84422736319652
537,-198.1900816433569,1,536,1,4000,cap,725.4967481588939,-923.725348381965,0.0,nan,nan,nan,-198.2286002230711
538,-198.57438399835834,1,537,1,4000,cap,726.8329577619029,-925.4459324265954,0.0,nan,nan,nan,-198.6129746646925
539,-198.958687923855,1,538,1,4000,cap,728.1691673649119,-927.1665180429891,0.0,nan,nan,nan,-198.99735067807717
540,-199.34299343354547,1,539,1,4000,cap,729.5053769679209,-928.887105244984,0.0,nan,nan,nan,-199.38172827706308
541,-199.72730052263435,1,540,1,4000,cap,730.84158657093,-930.607694027658,0.0,nan,nan,nan,-199.76610745672804
542,-200.11160920011864,1,541,1,4000,cap,732.177796173939,-932.3282844000332,0.0,nan,nan,nan,-200.15048822609424
543,-200.49591944745848,1,542,1,4000,cap,733.514005776948,-934.0488763436424,0.0,nan,nan,nan,-200.5348705666944
544,-200.88023128308376,1,543,1,4000,cap,734.850215379957,-935.7694698768437,0.0,nan,nan,nan,-200.91925449688665
545,-201.2645446914849,1,544,1,4000,cap,736.1864249829661,-937.4900649841784,0.0,nan,nan,nan,-201.30364000121233
546,-201.6488596838119,1,545,1,4000,cap,737.5226345859752,-939.2106616767423,0.0,nan,nan,nan,-201.68802709076715
547,-202.03317624673124,1,546,1,4000,cap,738.8588441889842,-940.9312599412224,0.0,nan,nan,nan,-202.07241575223816
548,-202.41749439536702,1,547,1,4000,cap,740.1950537919932,-942.6518597927434,0.0,nan,nan,nan,-202.45680600075013
